link,accession,title,journal
https://pubmed.ncbi.nlm.nih.gov/28634357/,KY575644;KY575645;KY575646;KY575647;KY575648;KY575649;KY575650;KY575651;KY575652;KY575653;KY575654;KY575655;KY575656;KY575657;KY575658;KY575659;KY575660;KY575661;KY575662;KY575663;KY575664;KY575665;KY575666;KY575667;KY575668;KY575669;KY575670;KY575671;KY575672;KY575673;KY575674,"Astroviruses in bats, Madagascar","Emerg Microbes Infect 6 (6), E58 (2017)"
https://pubmed.ncbi.nlm.nih.gov/29159263/,MF983851;MF983852,Influence of age and body condition on astrovirus infection of bats in Singapore: An evolutionary and epidemiological analysis,"One Health 4, 27-33 (2017)"
https://pubmed.ncbi.nlm.nih.gov/29644096/,MG693175;MG693176,"Cameroonian fruit bats harbor divergent viruses, including rotavirus H, bastroviruses, and picobirnaviruses using an alternative genetic code","Virus Evol 4 (1), vey008 (2018)"
https://pubmed.ncbi.nlm.nih.gov/29896884/,MG004195;MG004196;MG004197;MG004198;MG004199;MG004200;MG004201;MG004202;MG004203;MG004204;MG004205;MG004206;MG004207;MG004208;MG004209;MG004210;MG004211;MG004212,Detection and phylogenetic characterization of astroviruses in insectivorous bats from Central-Southern Italy,Zoonoses Public Health (2018) In press
https://pubmed.ncbi.nlm.nih.gov/30969980/,MH424428;MH424429;MH424430;MH424431;MH424432;MH424433,A viral metagenomic survey identifies known and novel mammalian viruses in bats from Saudi Arabia,"PLoS ONE 14 (4), e0214227 (2019)"
https://pubmed.ncbi.nlm.nih.gov/32357556/,MT980819;MT980820;MT980821;MT980822;MT980823,"Diversity of Astroviruses Circulating in Humans, Bats, and Wild Birds in Egypt","Viruses 12 (5), E485 (2020)"
https://pubmed.ncbi.nlm.nih.gov/33375071/,MW385371,Interface between Bats and Pigs in Heavy Pig Production,"Viruses 13 (1), E4 (2020)"
https://pubmed.ncbi.nlm.nih.gov/33499328/,MW399223;MW399224;MW399225;MW399226;MW399227;MW399229;MW399230;MW399231;MW399232;MW399233;MW399234;MW399235;MW399236;MW399237;MW399238;MW399239;MW399240,First Detection of Bat Astroviruses (BtAstVs) among Bats in Poland: The Genetic BtAstVs Diversity Reveals Multiple Co-Infection of Bats with Different Strains,"Viruses 13 (2), 158 (2021)"
https://pubmed.ncbi.nlm.nih.gov/33562073/,MW249010,Characterizing and Evaluating the Zoonotic Potential of Novel Viruses Discovered in Vampire Bats,"Viruses 13 (2), 252 (2021)"
https://pubmed.ncbi.nlm.nih.gov/34641936/,MZ614404;MZ614405;MZ614406;MZ614407;MZ614408;MZ614409;MZ614410;MZ614411;MZ614412;MZ614413;MZ614414;MZ614415;MZ614416;MZ614417;MZ614418;MZ614419;MZ614420;MZ614421;MZ614422;MZ614423;MZ614424;MZ614425;MZ614426;MZ614429;MZ614430;MZ614431;MZ614432;MZ614433;MZ614434;MZ614435;MZ614436,"Investigation of astrovirus, coronavirus and paramyxovirus co-infections in bats in the western Indian Ocean","Virol J 18 (1), 205 (2021)"
https://pubmed.ncbi.nlm.nih.gov/36312977/,MW450837,"Highly diverse ribonucleic acid viruses in the viromes of eukaryotic host species in Yunnan province, China","Front Microbiol 13, 1019444 (2022)"
https://pubmed.ncbi.nlm.nih.gov/37429936/,OP963600;OP963601;OP963602;OP963603;OP963604;OQ709180;OQ709181;OQ709182;OQ709188;OQ709189;OQ709190;OQ709191;OQ709192;OQ709193,Individual bat virome analysis reveals co-infection and spillover among bats and virus zoonotic potential,"Nat Commun 14 (1), 4079 (2023)"
https://pubmed.ncbi.nlm.nih.gov/37487325/,OP589977;OP589978;OP589979;OP589980;OP589981;OP589982;OP589983;OP589984;OP589985,"Gammaretroviruses, novel viruses and pathogenic bacteria in Australian bats with neurological signs, pneumonia and skin lesions","Virology 586, 43-55 (2023)"
https://pubmed.ncbi.nlm.nih.gov/37734372/,OQ802697;OQ802698;OQ802699;OQ802700;OQ802701;OQ802702;OQ802703;OQ802704;OQ802705;OQ802706;OQ802707;OQ802708;OQ802709;OQ802710;OQ802711;OQ802712;OQ802713;OQ802714;OQ802734;OQ802735;OQ802736;OQ802737;OQ802743;OQ802744;OQ802745;OQ802746;OQ802747;OQ802748;OQ802749;OQ802750;OQ802751;OQ802752,Host traits shape virome composition and virus transmission in wild small mammals,"Cell 186 (21), 4662-4675 (2023)"
https://pubmed.ncbi.nlm.nih.gov/38600530/,PP711853;PP711854;PP711855;PP711861;PP711863;PP711864;PP711865;PP711867;PP711868;PP711870;PP711871;PP711872;PP711873;PP711874;PP711875;PP711876;PP711877;PP711878;PP711879;PP711880;PP711881;PP711882;PP711884,"Substantial viral diversity in bats and rodents from East Africa: insights into evolution, recombination, and cocirculation","Microbiome 12 (1), 72 (2024)"
